category,year,month,transactions_count,category_revenue,category_profit
Beauty & Care,2026,1,30,849230.45,198674.07
Beauty & Care,2026,2,30,695948.17,143944.54
Beauty & Care,2026,3,36,1175496.49,270457.84
Beauty & Care,2026,4,29,720582.31,138307.97
Beauty & Care,2026,5,30,679278.15,153452.05
Beauty & Care,2026,6,36,1095903.9,245861.25
Beauty & Care,2026,7,8,167124.86,49005.22
Clothing,2026,1,162,5045558.01,1228330.46
Clothing,2026,2,171,6172055.22,1544951.41
Clothing,2026,3,189,7133579.51,1713935.43
Clothing,2026,4,185,5807527.36,1466152.22
Clothing,2026,5,145,5293852.56,1319439.1
Clothing,2026,6,258,8256476.56,2188963.12
Clothing,2026,7,21,545830.29,193083.78
Electronics,2026,1,64,2769169.23,714372.24
Electronics,2026,2,61,2604059.62,695497.27
Electronics,2026,3,76,3271955.69,847311.24
Electronics,2026,4,78,3275310.86,845806.14
Electronics,2026,5,74,3686644.61,895150.72
Electronics,2026,6,102,4303373.86,1192346.15
Electronics,2026,7,6,310397.69,111964.89
Home & Kitchen,2026,1,79,3090371.39,647296.57
Home & Kitchen,2026,2,72,2691626.83,593932.03
Home & Kitchen,2026,3,76,3301484.58,709303.78
Home & Kitchen,2026,4,64,2192008.06,477744.82
Home & Kitchen,2026,5,86,3740771.13,801338.94
Home & Kitchen,2026,6,120,4462429.44,1005749.58
Home & Kitchen,2026,7,13,682920.31,196237.27
Sports & Outdoors,2026,1,53,1384592.22,337616.36
Sports & Outdoors,2026,2,52,1287929.41,329982.51
Sports & Outdoors,2026,3,61,1423609.54,354044.08
Sports & Outdoors,2026,4,64,1685342.52,382022.41
Sports & Outdoors,2026,5,57,1332722.09,310085.62
Sports & Outdoors,2026,6,57,1451483.2,357332.26
Sports & Outdoors,2026,7,5,125733.81,44855.42
