sale_date,store_id,sales_channel,total_transactions,total_units_sold,total_revenue,total_gross_profit,avg_order_value
2026-01-01,STR-100,In-Store,1,4,58608.62,22248.94,58608.62
2026-01-01,STR-102,Online,1,5,57379.57,13259.97,57379.57
2026-01-01,STR-104,Mobile App,1,3,21928.89,6661.83,21928.89
2026-01-01,STR-106,In-Store,1,1,1860.93,713.69,1860.93
2026-01-01,STR-107,In-Store,2,10,114515.72,37490.72,57257.86
2026-01-01,STR-108,Online,1,4,92496.98,30469.18,92496.98
2026-01-01,STR-109,Mobile App,1,5,98847.82,14686.37,98847.82
2026-01-01,STR-111,In-Store,1,4,82760.45,20732.65,82760.45
2026-01-01,STR-111,Online,1,1,9459.87,2222.03,9459.87
2026-01-01,STR-113,Mobile App,1,5,107782.56,32644.11,107782.56
2026-01-01,STR-113,Online,1,5,34682.15,10943.8,34682.15
2026-01-01,STR-114,In-Store,1,1,13656.37,3605.6,13656.37
2026-01-02,STR-102,Mobile App,1,2,3655.65,1259.15,3655.65
2026-01-02,STR-103,Mobile App,1,2,18354.49,7010.33,18354.49
2026-01-02,STR-103,Online,2,5,75382.0,14958.16,37691.0
2026-01-02,STR-104,Mobile App,1,4,10342.85,1939.33,10342.85
2026-01-02,STR-106,Mobile App,1,4,41098.84,12145.2,41098.84
2026-01-02,STR-107,Mobile App,1,5,29447.24,8106.84,29447.24
2026-01-02,STR-107,Online,1,1,14433.76,1600.26,14433.76
2026-01-02,STR-108,In-Store,1,2,23308.31,3664.31,23308.31
2026-01-02,STR-108,Online,1,2,28166.58,6046.74,28166.58
2026-01-02,STR-109,Mobile App,1,1,19260.73,4706.95,19260.73
2026-01-02,STR-110,Online,2,5,35809.16,7115.66,17904.58
2026-01-02,STR-113,Online,1,1,22174.12,3776.42,22174.12
2026-01-02,STR-114,Mobile App,1,3,5754.66,1427.49,5754.66
2026-01-03,STR-100,Online,1,5,92716.4,27291.9,92716.4
2026-01-03,STR-103,Online,1,3,26200.51,4485.28,26200.51
2026-01-03,STR-104,Mobile App,1,5,48896.55,13576.9,48896.55
2026-01-03,STR-105,Mobile App,1,1,6643.49,1394.01,6643.49
2026-01-03,STR-106,In-Store,1,1,5591.06,1350.77,5591.06
2026-01-03,STR-107,Mobile App,3,8,65566.01,9866.11,21855.34
2026-01-03,STR-107,Online,1,4,55272.74,3879.06,55272.74
2026-01-03,STR-108,Online,1,4,7741.37,2948.37,7741.37
2026-01-03,STR-110,Online,1,1,23951.68,8923.99,23951.68
2026-01-03,STR-113,Mobile App,1,4,93033.24,25704.08,93033.24
2026-01-03,STR-114,In-Store,1,4,32533.92,9638.2,32533.92
2026-01-04,STR-100,Online,1,2,12651.91,3632.53,12651.91
2026-01-04,STR-101,Mobile App,1,1,5895.97,1148.3,5895.97
2026-01-04,STR-102,In-Store,1,1,23951.68,8923.99,23951.68
2026-01-04,STR-103,In-Store,1,1,15545.46,2697.04,15545.46
2026-01-04,STR-107,Mobile App,1,2,9133.7,1543.34,9133.7
2026-01-04,STR-110,In-Store,1,5,33294.5,10746.05,33294.5
2026-01-04,STR-110,Mobile App,1,1,5549.14,801.47,5549.14
2026-01-04,STR-110,Online,1,3,9211.6,2908.96,9211.6
