transaction_id,transaction_timestamp,store_id,customer_id,product_id,quantity,unit_price,discount_pct,total_amount,payment_method,sales_channel,api_ingestion_flag,sale_date,year,month,day_of_week,category,cost_price,net_unit_price,calculated_total,total_cost,gross_profit
TXN-100000,2026-02-08 10:51:00,STR-109,CUST-5077,PRD-1004,5,18042.2,0.0,90211.0,UPI,In-Store,,2026-02-08,2026,2,Sunday,Clothing,12833.5,18042.2,90211.0,64167.5,26043.5
TXN-100001,2026-06-05 17:50:00,STR-109,CUST-5057,PRD-1007,5,23951.68,0.15,101794.64,Cash,Online,,2026-06-05,2026,6,Friday,Clothing,15027.69,20358.928,101794.64,75138.45,26656.19
TXN-100002,2026-05-31 14:19:00,STR-109,CUST-5158,PRD-1028,4,6658.9,0.1,23972.04,UPI,Mobile App,,2026-05-31,2026,5,Sunday,Sports & Outdoors,4509.69,5993.01,23972.04,18038.76,5933.28
TXN-100003,2026-06-10 11:16:00,STR-110,CUST-5020,PRD-1047,1,13096.34,0.05,12441.52,Credit Card,In-Store,,2026-06-10,2026,6,Wednesday,Electronics,8041.8,12441.523,12441.52,8041.8,4399.72
TXN-100004,2026-02-10 08:26:00,STR-107,CUST-5176,PRD-1011,5,20820.24,0.0,104101.2,Cash,Online,,2026-02-10,2026,2,Tuesday,Home & Kitchen,14413.01,20820.24,104101.2,72065.05,32036.15
TXN-100005,2026-03-15 19:18:00,STR-111,CUST-5116,PRD-1018,1,17272.73,0.05,16409.09,UPI,Mobile App,,2026-03-15,2026,3,Sunday,Clothing,12848.42,16409.0935,16409.09,12848.42,3560.67
TXN-100006,2026-06-19 20:59:00,STR-103,CUST-5108,PRD-1014,3,7309.63,0.2,17543.11,UPI,Mobile App,,2026-06-19,2026,6,Friday,Beauty & Care,5089.02,5847.704000000001,17543.11,15267.06,2276.05
TXN-100007,2026-02-06 09:03:00,STR-102,CUST-5078,PRD-1014,2,7309.63,0.1,13157.33,Cash,Mobile App,,2026-02-06,2026,2,Friday,Beauty & Care,5089.02,6578.667,13157.33,10178.04,2979.29
TXN-100008,2026-02-01 15:44:00,STR-104,CUST-5179,PRD-1036,3,22028.56,0.15,56172.83,Net Banking,Online,,2026-02-01,2026,2,Sunday,Home & Kitchen,16329.4,18724.276,56172.83,48988.2,7184.63
TXN-100009,2026-04-23 09:38:00,STR-100,CUST-5110,PRD-1032,5,19167.84,0.15,81463.32,Debit Card,Mobile App,,2026-04-23,2026,4,Thursday,Sports & Outdoors,12780.48,16292.663999999999,81463.32,63902.4,17560.92
TXN-100010,2026-02-28 18:53:00,STR-113,CUST-5147,PRD-1016,1,15423.32,0.0,15423.32,Cash,In-Store,,2026-02-28,2026,2,Saturday,Electronics,9089.92,15423.32,15423.32,9089.92,6333.4
TXN-100011,2026-01-11 20:48:00,STR-102,CUST-5120,PRD-1048,3,13710.77,0.2,32905.85,Cash,Mobile App,,2026-01-11,2026,1,Sunday,Clothing,9822.0,10968.616000000002,32905.85,29466.0,3439.85
TXN-100012,2026-05-30 14:40:00,STR-113,CUST-5125,PRD-1028,3,6658.9,0.05,18977.86,UPI,Online,,2026-05-30,2026,5,Saturday,Sports & Outdoors,4509.69,6325.954999999999,18977.86,13529.07,5448.79
TXN-100013,2026-03-24 18:06:00,STR-113,CUST-5041,PRD-1022,4,6988.83,0.1,25159.79,Debit Card,Online,,2026-03-24,2026,3,Tuesday,Clothing,4240.29,6289.947,25159.79,16961.16,8198.63
TXN-100014,2026-06-19 14:52:00,STR-112,CUST-5140,PRD-1044,4,2067.7,0.1,7443.72,UPI,Online,,2026-06-19,2026,6,Friday,Clothing,1147.24,1860.9299999999998,7443.72,4588.96,2854.76
TXN-100015,2026-03-24 09:49:00,STR-106,CUST-5131,PRD-1005,3,11505.07,0.1,31063.69,UPI,Mobile App,,2026-03-24,2026,3,Tuesday,Clothing,7063.93,10354.563,31063.69,21191.79,9871.9
TXN-100016,2026-01-14 11:33:00,STR-105,CUST-5159,PRD-1034,4,9660.26,0.15,32844.88,Net Banking,Mobile App,,2026-01-14,2026,1,Wednesday,Clothing,5672.08,8211.221,32844.88,22688.32,10156.56
TXN-100017,2026-03-10 16:08:00,STR-114,CUST-5073,PRD-1028,1,6658.9,0.05,6325.95,Net Banking,Mobile App,,2026-03-10,2026,3,Tuesday,Sports & Outdoors,4509.69,6325.954999999999,6325.95,4509.69,1816.26
TXN-100018,2026-06-11 17:51:00,STR-103,CUST-5181,PRD-1031,1,23868.44,0.0,23868.44,Credit Card,Online,,2026-06-11,2026,6,Thursday,Electronics,17935.85,23868.44,23868.44,17935.85,5932.59
TXN-100019,2026-04-15 09:14:00,STR-113,CUST-5029,PRD-1035,1,15173.74,0.2,12138.99,Net Banking,In-Store,,2026-04-15,2026,4,Wednesday,Electronics,10050.77,12138.992,12138.99,10050.77,2088.22
TXN-100020,2026-03-16 16:45:00,STR-104,CUST-5106,PRD-1041,2,23258.31,0.15,39539.13,Net Banking,Online,,2026-03-16,2026,3,Monday,Clothing,16832.29,19769.5635,39539.13,33664.58,5874.55
TXN-100021,2026-02-07 14:12:00,STR-114,CUST-5153,PRD-1015,4,9568.8,0.2,30620.16,Cash,Mobile App,,2026-02-07,2026,2,Saturday,Clothing,5723.93,7655.04,30620.16,22895.72,7724.44
TXN-100022,2026-04-17 13:59:00,STR-112,CUST-5129,PRD-1008,1,2868.65,0.1,2581.79,Debit Card,In-Store,,2026-04-17,2026,4,Friday,Beauty & Care,2136.93,2581.7850000000003,2581.79,2136.93,444.86
TXN-100023,2026-05-29 18:31:00,STR-113,CUST-5038,PRD-1018,3,17272.73,0.2,41454.55,Net Banking,Mobile App,,2026-05-29,2026,5,Friday,Clothing,12848.42,13818.184000000001,41454.55,38545.26,2909.29
TXN-100024,2026-05-22 20:34:00,STR-106,CUST-5116,PRD-1030,3,3232.14,0.1,8726.78,Debit Card,In-Store,,2026-05-22,2026,5,Friday,Home & Kitchen,2100.88,2908.926,8726.78,6302.64,2424.14
TXN-100025,2026-04-09 11:54:00,STR-112,CUST-5105,PRD-1044,2,2067.7,0.2,3308.32,UPI,Online,,2026-04-09,2026,4,Thursday,Clothing,1147.24,1654.1599999999999,3308.32,2294.48,1013.84
TXN-100026,2026-04-09 18:50:00,STR-113,CUST-5166,PRD-1047,4,13096.34,0.15,44527.56,Credit Card,Online,,2026-04-09,2026,4,Thursday,Electronics,8041.8,11131.889,44527.56,32167.2,12360.36
TXN-100027,2026-06-01 13:55:00,STR-101,CUST-5112,PRD-1002,2,14966.66,0.2,23946.66,UPI,Mobile App,,2026-06-01,2026,6,Monday,Electronics,8341.07,11973.328000000001,23946.66,16682.14,7264.52
TXN-100028,2026-04-15 21:41:00,STR-102,CUST-5019,PRD-1029,1,17201.59,0.05,16341.51,Net Banking,Online,,2026-04-15,2026,4,Wednesday,Electronics,11585.33,16341.510499999999,16341.51,11585.33,4756.18
TXN-100029,2026-06-16 09:54:00,STR-105,CUST-5172,PRD-1021,5,5708.56,0.15,24261.38,Cash,Online,,2026-06-16,2026,6,Tuesday,Home & Kitchen,3795.18,4852.276,24261.38,18975.9,5285.48
TXN-100030,2026-01-10 17:04:00,STR-103,CUST-5161,PRD-1020,4,2120.69,0.2,6786.21,Debit Card,In-Store,,2026-01-10,2026,1,Saturday,Home & Kitchen,1611.77,1696.5520000000001,6786.21,6447.08,339.13
TXN-100031,2026-01-26 20:40:00,STR-111,CUST-5025,PRD-1047,1,13096.34,0.15,11131.89,Net Banking,In-Store,,2026-01-26,2026,1,Monday,Electronics,8041.8,11131.889,11131.89,8041.8,3090.09
TXN-100032,2026-01-12 13:50:00,STR-100,CUST-5075,PRD-1044,3,2067.7,0.0,6203.1,Debit Card,Online,,2026-01-12,2026,1,Monday,Clothing,1147.24,2067.7,6203.1,3441.72,2761.38
TXN-100033,2026-05-16 14:36:00,STR-110,CUST-5046,PRD-1027,2,2055.49,0.05,3905.43,Credit Card,In-Store,,2026-05-16,2026,5,Saturday,Sports & Outdoors,1310.93,1952.7154999999998,3905.43,2621.86,1283.57
